p_value,r2,mse,rmse
1,0.15880398466754908,910605798.6928893,30176.245603005176
2,0.16293612767847254,906132699.2984656,30102.0381253241
3,0.16301092407017215,906051731.2163997,30100.693201592545
4,0.1542632342079947,915521221.0481099,30257.58121608715
5,0.2964224655686074,761631975.194351,27597.680612586828
6,0.3209589779179106,735070876.4519312,27112.190550597923
7,0.3633715396264977,689158718.1376816,26251.832662457713
8,0.2949913559534578,763181170.2575316,27625.733841068035
9,0.30048704786449276,757232011.1664248,27517.848956021702
10,0.3437837428882704,710362766.8591894,26652.631518467166
11,0.35284557368985936,700553215.3108032,26467.965832507853
12,0.3556844066366026,697480141.1453209,26409.84932076139
13,0.3614630569366958,691224675.8602129,26291.152045131323
14,0.37240145232683275,679383718.3555369,26064.9902811326
15,0.3715607762063313,680293761.3612075,26082.441629594563
16,0.3481560691843951,705629665.8857439,26563.690742924708
17,0.3564606270429924,696639872.3016282,26393.936279032507
18,0.3565057544704413,696591021.2652869,26393.01084123005
19,0.36100007961562175,691725854.9261489,26300.681643754957
20,0.3605573512273277,692205114.2548646,26309.791224083565
21,0.3683081153589769,683814809.695717,26149.852957439685
22,0.3321206338483845,722988236.4630964,26888.440573285323
23,0.36862724400444735,683469348.7213452,26143.246713469718
24,0.3474724730919533,706369667.686032,26577.615914261987
25,0.355220380683954,697982455.3687886,26419.357588116873
26,0.4215650289621641,626163497.2030131,25023.259124322976
27,0.42496896521417804,622478691.2446303,24949.522866071613
28,0.411438498695468,637125599.9869262,25241.34703194198
29,0.40946601781348035,639260836.5979067,25283.60806130934
30,0.39645756650200914,653342656.9826102,25560.56840100803
31,0.4149750807746888,633297203.168357,25165.396940409206
32,0.46344523495968426,580827620.9783466,24100.365577690864
33,0.4669303965781607,577054887.4877912,24021.966769767023
34,0.43279475350368846,614007172.0435382,24779.168106365843
35,0.4475722904173287,598010293.1250844,24454.248978962416
36,0.4477486582782889,597819372.5857972,24450.345040219723
37,0.44753219254202525,598053699.6047883,24455.136466697306
38,0.4609946123462024,583480452.329863,24155.340037554077
39,0.45245231653090556,592727600.3925948,24345.997625741173
40,0.4559069001204009,588987968.0223434,24269.074313256024
41,0.4567437134980872,588082106.4867967,24250.404254090216
42,0.4360358252321752,610498669.0832938,24708.271268611526
43,0.4718845460413792,571691955.2501544,23910.08061990077
44,0.4884970802970413,553708667.4688735,23531.0150114455
45,0.429034034326225,618078200.2317784,24861.178576885257
